
run: 1, trials: 100, success_rate : 1.0
run: 2, trials: 100, success_rate : 1.0
run: 3, trials: 100, success_rate : 1.0
run: 4, trials: 100, success_rate : 0.99
run: 5, trials: 100, success_rate : 0.99
run: 6, trials: 100, success_rate : 1.0
run: 7, trials: 100, success_rate : 0.99
run: 8, trials: 100, success_rate : 0.99
run: 9, trials: 100, success_rate : 0.99
run: 10, trials: 100, success_rate : 0.99
run: 11, trials: 100, success_rate : 0.99
run: 12, trials: 100, success_rate : 1.0
run: 13, trials: 100, success_rate : 1.0
run: 14, trials: 100, success_rate : 0.99
run: 15, trials: 100, success_rate : 0.99
run: 16, trials: 100, success_rate : 1.0
run: 17, trials: 100, success_rate : 1.0
run: 18, trials: 100, success_rate : 1.0
run: 19, trials: 100, success_rate : 1.0
run: 20, trials: 100, success_rate : 1.0
run: 21, trials: 100, success_rate : 0.99
run: 22, trials: 100, success_rate : 1.0
run: 23, trials: 100, success_rate : 1.0
run: 24, trials: 100, success_rate : 1.0
run: 25, trials: 100, success_rate : 1.0
run: 26, trials: 100, success_rate : 1.0
run: 27, trials: 100, success_rate : 0.99
run: 28, trials: 100, success_rate : 0.99
run: 29, trials: 100, success_rate : 1.0
run: 30, trials: 100, success_rate : 1.0
