
run: 1, trials: 100, success_rate : 0.83
run: 2, trials: 100, success_rate : 0.9
run: 3, trials: 100, success_rate : 0.85
run: 4, trials: 100, success_rate : 0.85
run: 5, trials: 100, success_rate : 0.89
run: 6, trials: 100, success_rate : 0.89
run: 7, trials: 100, success_rate : 0.87
run: 8, trials: 100, success_rate : 0.91
run: 9, trials: 100, success_rate : 0.92
run: 1, trials: 100, success_rate : 0.83
run: 2, trials: 100, success_rate : 0.9
run: 3, trials: 100, success_rate : 0.85
run: 1, trials: 100, success_rate : 0.83
run: 2, trials: 100, success_rate : 0.9
run: 3, trials: 100, success_rate : 0.85
run: 4, trials: 100, success_rate : 0.85
run: 5, trials: 100, success_rate : 0.89
run: 6, trials: 100, success_rate : 0.89
run: 1, trials: 100, success_rate : 0.97
run: 2, trials: 100, success_rate : 0.96
run: 3, trials: 100, success_rate : 0.98
run: 4, trials: 100, success_rate : 0.97
run: 5, trials: 100, success_rate : 0.98
run: 6, trials: 100, success_rate : 0.98
run: 7, trials: 100, success_rate : 0.96
run: 8, trials: 100, success_rate : 0.99
run: 9, trials: 100, success_rate : 0.96
run: 10, trials: 100, success_rate : 0.98
run: 11, trials: 100, success_rate : 0.98
run: 12, trials: 100, success_rate : 0.96
run: 13, trials: 100, success_rate : 0.97
run: 14, trials: 100, success_rate : 0.98
run: 15, trials: 100, success_rate : 0.97
run: 16, trials: 100, success_rate : 0.97
run: 17, trials: 100, success_rate : 0.99
run: 18, trials: 100, success_rate : 0.98
run: 19, trials: 100, success_rate : 0.99
run: 20, trials: 100, success_rate : 0.97
run: 21, trials: 100, success_rate : 0.95
run: 22, trials: 100, success_rate : 0.95
run: 23, trials: 100, success_rate : 0.98
run: 24, trials: 100, success_rate : 0.96
run: 25, trials: 100, success_rate : 0.98
run: 26, trials: 100, success_rate : 0.96
run: 27, trials: 100, success_rate : 0.98
run: 28, trials: 100, success_rate : 1.0
run: 29, trials: 100, success_rate : 0.98
run: 30, trials: 100, success_rate : 0.99
run: 1, trials: 100, success_rate : 0.97
run: 2, trials: 100, success_rate : 0.96
run: 3, trials: 100, success_rate : 0.98
run: 4, trials: 100, success_rate : 0.97
run: 5, trials: 100, success_rate : 0.98
run: 6, trials: 100, success_rate : 0.98
run: 7, trials: 100, success_rate : 0.96
run: 8, trials: 100, success_rate : 0.99
run: 9, trials: 100, success_rate : 0.96
run: 10, trials: 100, success_rate : 0.98
run: 11, trials: 100, success_rate : 0.98
run: 12, trials: 100, success_rate : 0.96
run: 13, trials: 100, success_rate : 0.97
run: 14, trials: 100, success_rate : 0.98
run: 15, trials: 100, success_rate : 0.97
run: 16, trials: 100, success_rate : 0.97
run: 17, trials: 100, success_rate : 0.99
run: 18, trials: 100, success_rate : 0.98
run: 19, trials: 100, success_rate : 0.99
run: 20, trials: 100, success_rate : 0.97
run: 21, trials: 100, success_rate : 0.95
run: 22, trials: 100, success_rate : 0.95
run: 23, trials: 100, success_rate : 0.98
run: 24, trials: 100, success_rate : 0.96
run: 25, trials: 100, success_rate : 0.98
run: 26, trials: 100, success_rate : 0.96
run: 27, trials: 100, success_rate : 0.98
run: 28, trials: 100, success_rate : 1.0
run: 29, trials: 100, success_rate : 0.98
run: 30, trials: 100, success_rate : 0.99
run: 1, trials: 100, success_rate : 0.97
run: 1, trials: 100, success_rate : 0.83
run: 2, trials: 100, success_rate : 0.9
run: 3, trials: 100, success_rate : 0.85
run: 4, trials: 100, success_rate : 0.85
run: 5, trials: 100, success_rate : 0.89
run: 6, trials: 100, success_rate : 0.89
run: 7, trials: 100, success_rate : 0.87
run: 8, trials: 100, success_rate : 0.91
run: 9, trials: 100, success_rate : 0.92
run: 10, trials: 100, success_rate : 0.87
run: 11, trials: 100, success_rate : 0.91
run: 12, trials: 100, success_rate : 0.82
run: 13, trials: 100, success_rate : 0.9
run: 14, trials: 100, success_rate : 0.9
run: 15, trials: 100, success_rate : 0.88
run: 16, trials: 100, success_rate : 0.88
run: 17, trials: 100, success_rate : 0.87
run: 18, trials: 100, success_rate : 0.87
run: 19, trials: 100, success_rate : 0.94
run: 20, trials: 100, success_rate : 0.91
run: 21, trials: 100, success_rate : 0.95
run: 22, trials: 100, success_rate : 0.86
run: 23, trials: 100, success_rate : 0.86
run: 24, trials: 100, success_rate : 0.93
run: 25, trials: 100, success_rate : 0.85
run: 26, trials: 100, success_rate : 0.92
run: 27, trials: 100, success_rate : 0.92
run: 28, trials: 100, success_rate : 0.9
run: 29, trials: 100, success_rate : 0.89
run: 30, trials: 100, success_rate : 0.82
