
run: 1, trials: 30, success_rate : 0.3
run: 2, trials: 30, success_rate : 0.3
run: 3, trials: 30, success_rate : 0.3
run: 4, trials: 30, success_rate : 0.3333333333333333
run: 5, trials: 30, success_rate : 0.3
run: 6, trials: 30, success_rate : 0.3
run: 7, trials: 30, success_rate : 0.16666666666666666
run: 8, trials: 30, success_rate : 0.36666666666666664
run: 9, trials: 30, success_rate : 0.3333333333333333
run: 10, trials: 30, success_rate : 0.23333333333333334
run: 11, trials: 30, success_rate : 0.3333333333333333
run: 12, trials: 30, success_rate : 0.26666666666666666
run: 13, trials: 30, success_rate : 0.3333333333333333
run: 14, trials: 30, success_rate : 0.3333333333333333
run: 15, trials: 30, success_rate : 0.3333333333333333
run: 16, trials: 30, success_rate : 0.3333333333333333
run: 17, trials: 30, success_rate : 0.3333333333333333
run: 18, trials: 30, success_rate : 0.2
run: 19, trials: 30, success_rate : 0.1
run: 20, trials: 30, success_rate : 0.23333333333333334
run: 21, trials: 30, success_rate : 0.2
run: 22, trials: 30, success_rate : 0.43333333333333335
run: 23, trials: 30, success_rate : 0.3
run: 24, trials: 30, success_rate : 0.26666666666666666
run: 25, trials: 30, success_rate : 0.1
run: 26, trials: 30, success_rate : 0.3
run: 27, trials: 30, success_rate : 0.3333333333333333
run: 28, trials: 30, success_rate : 0.4
run: 29, trials: 30, success_rate : 0.26666666666666666
run: 30, trials: 30, success_rate : 0.16666666666666666
run: 31, trials: 30, success_rate : 0.16666666666666666
run: 32, trials: 30, success_rate : 0.36666666666666664
run: 33, trials: 30, success_rate : 0.16666666666666666
run: 34, trials: 30, success_rate : 0.3333333333333333
run: 35, trials: 30, success_rate : 0.23333333333333334
run: 36, trials: 30, success_rate : 0.26666666666666666
run: 37, trials: 30, success_rate : 0.23333333333333334
run: 38, trials: 30, success_rate : 0.4
run: 39, trials: 30, success_rate : 0.26666666666666666
run: 40, trials: 30, success_rate : 0.2
run: 41, trials: 30, success_rate : 0.26666666666666666
run: 42, trials: 30, success_rate : 0.23333333333333334
run: 43, trials: 30, success_rate : 0.26666666666666666
run: 44, trials: 30, success_rate : 0.36666666666666664
run: 45, trials: 30, success_rate : 0.23333333333333334
run: 46, trials: 30, success_rate : 0.3
run: 47, trials: 30, success_rate : 0.16666666666666666
run: 48, trials: 30, success_rate : 0.3333333333333333
